"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context"
" ясьтирим еиналеж лялвяъзи но как ,ямерв";"с";"время, как он изъявлял желание мириться";"с";" ";"Англией при посредничестве России.";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Содержание депеши от Новосильцева, поехавшего в Париж для переговоров о мире, было следующее: Приехав в Берлин, Новосильцев узнал, что Бонапарт издал декрет о присоединении Генуэзской республики к Французской империи в то самое время, как он изъявлял желание мириться с Англией при посредничестве России."
" с ясьтирим еиналеж лялвяъзи но как";"йеилгнА";"как он изъявлял желание мириться с";"Англией";" ";"при посредничестве России.";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Содержание депеши от Новосильцева, поехавшего в Париж для переговоров о мире, было следующее: Приехав в Берлин, Новосильцев узнал, что Бонапарт издал декрет о присоединении Генуэзской республики к Французской империи в то самое время, как он изъявлял желание мириться с Англией при посредничестве России."
" йеилгнА с ясьтирим еиналеж лялвяъзи но";"ирп";"он изъявлял желание мириться с Англией";"при";" ";"посредничестве России.";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Содержание депеши от Новосильцева, поехавшего в Париж для переговоров о мире, было следующее: Приехав в Берлин, Новосильцев узнал, что Бонапарт издал декрет о присоединении Генуэзской республики к Французской империи в то самое время, как он изъявлял желание мириться с Англией при посредничестве России."
" ирп йеилгнА с ясьтирим еиналеж лялвяъзи";"евтсечиндерсоп";"изъявлял желание мириться с Англией при";"посредничестве";" ";"России.";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Содержание депеши от Новосильцева, поехавшего в Париж для переговоров о мире, было следующее: Приехав в Берлин, Новосильцев узнал, что Бонапарт издал декрет о присоединении Генуэзской республики к Французской империи в то самое время, как он изъявлял желание мириться с Англией при посредничестве России."
" евтсечиндерсоп ирп йеилгнА с ясьтирим еиналеж";"ииссоР";"желание мириться с Англией при посредничестве";"России";". ";"";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Содержание депеши от Новосильцева, поехавшего в Париж для переговоров о мире, было следующее: Приехав в Берлин, Новосильцев узнал, что Бонапарт издал декрет о присоединении Генуэзской республики к Французской империи в то самое время, как он изъявлял желание мириться с Англией при посредничестве России."
" ";"вецьлисовоН";"";"Новосильцев";", ";"остановившись в Берлине и предполагая, что";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" ,вецьлисовоН ";"ьсишвивонатсо";"Новосильцев,";"остановившись";" ";"в Берлине и предполагая, что такое";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" ьсишвивонатсо ,вецьлисовоН ";"в";"Новосильцев, остановившись";"в";" ";"Берлине и предполагая, что такое насилие";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" в ьсишвивонатсо ,вецьлисовоН ";"енилреБ";"Новосильцев, остановившись в";"Берлине";" ";"и предполагая, что такое насилие Буонапарте";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" енилреБ в ьсишвивонатсо ,вецьлисовоН ";"и";"Новосильцев, остановившись в Берлине";"и";" ";"предполагая, что такое насилие Буонапарте может";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" и енилреБ в ьсишвивонатсо ,вецьлисовоН ";"яагалопдерп";"Новосильцев, остановившись в Берлине и";"предполагая";", ";"что такое насилие Буонапарте может изменить";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" ,яагалопдерп и енилреБ в ьсишвивонатсо ,вецьлисовоН";"отч";"Новосильцев, остановившись в Берлине и предполагая,";"что";" ";"такое насилие Буонапарте может изменить намерение";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" отч ,яагалопдерп и енилреБ в ьсишвивонатсо";"еокат";"остановившись в Берлине и предполагая, что";"такое";" ";"насилие Буонапарте может изменить намерение императора";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" еокат отч ,яагалопдерп и енилреБ в";"еилисан";"в Берлине и предполагая, что такое";"насилие";" ";"Буонапарте может изменить намерение императора, спрашивал";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" еилисан еокат отч ,яагалопдерп и енилреБ";"етрапаноуБ";"Берлине и предполагая, что такое насилие";"Буонапарте";" ";"может изменить намерение императора, спрашивал разрешение";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" етрапаноуБ еилисан еокат отч ,яагалопдерп и";"тежом";"и предполагая, что такое насилие Буонапарте";"может";" ";"изменить намерение императора, спрашивал разрешение его";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" тежом етрапаноуБ еилисан еокат отч ,яагалопдерп";"ьтинемзи";"предполагая, что такое насилие Буонапарте может";"изменить";" ";"намерение императора, спрашивал разрешение его величества";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" ьтинемзи тежом етрапаноуБ еилисан еокат отч";"еинереман";"что такое насилие Буонапарте может изменить";"намерение";" ";"императора, спрашивал разрешение его величества, ехать";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" еинереман ьтинемзи тежом етрапаноуБ еилисан еокат";"аротарепми";"такое насилие Буонапарте может изменить намерение";"императора";", ";"спрашивал разрешение его величества, ехать ли";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" ,аротарепми еинереман ьтинемзи тежом етрапаноуБ еилисан";"лавишарпс";"насилие Буонапарте может изменить намерение императора,";"спрашивал";" ";"разрешение его величества, ехать ли в";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" лавишарпс ,аротарепми еинереман ьтинемзи тежом етрапаноуБ";"еинешерзар";"Буонапарте может изменить намерение императора, спрашивал";"разрешение";" ";"его величества, ехать ли в Париж";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" еинешерзар лавишарпс ,аротарепми еинереман ьтинемзи тежом";"оге";"может изменить намерение императора, спрашивал разрешение";"его";" ";"величества, ехать ли в Париж, или";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" оге еинешерзар лавишарпс ,аротарепми еинереман ьтинемзи";"автсечилев";"изменить намерение императора, спрашивал разрешение его";"величества";", ";"ехать ли в Париж, или возвратиться.";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" ,автсечилев оге еинешерзар лавишарпс ,аротарепми еинереман";"ьтахе";"намерение императора, спрашивал разрешение его величества,";"ехать";" ";"ли в Париж, или возвратиться.";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" ьтахе ,автсечилев оге еинешерзар лавишарпс ,аротарепми";"ил";"императора, спрашивал разрешение его величества, ехать";"ли";" ";"в Париж, или возвратиться.";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" ил ьтахе ,автсечилев оге еинешерзар лавишарпс";"в";"спрашивал разрешение его величества, ехать ли";"в";" ";"Париж, или возвратиться.";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" в ил ьтахе ,автсечилев оге еинешерзар";"жираП";"разрешение его величества, ехать ли в";"Париж";", ";"или возвратиться.";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" ,жираП в ил ьтахе ,автсечилев оге";"или";"его величества, ехать ли в Париж,";"или";" ";"возвратиться.";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" или ,жираП в ил ьтахе ,автсечилев";"ясьтитарвзов";"величества, ехать ли в Париж, или";"возвратиться";". ";"";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Новосильцев, остановившись в Берлине и предполагая, что такое насилие Буонапарте может изменить намерение императора, спрашивал разрешение его величества, ехать ли в Париж, или возвратиться."
" ";"тевтО";"";"Ответ";" ";"Новосильцеву был составлен 2012 и должен";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Ответ Новосильцеву был составлен 2012 и должен [был] быть отослан завтра."
" тевтО ";"увецьлисовоН";"Ответ";"Новосильцеву";" ";"был составлен 2012 и должен [был]";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Ответ Новосильцеву был составлен 2012 и должен [был] быть отослан завтра."
" увецьлисовоН тевтО ";"лыб";"Ответ Новосильцеву";"был";" ";"составлен 2012 и должен [был] быть";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Ответ Новосильцеву был составлен 2012 и должен [был] быть отослан завтра."
" лыб увецьлисовоН тевтО ";"нелватсос";"Ответ Новосильцеву был";"составлен";" ";"2012 и должен [был] быть отослан";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Ответ Новосильцеву был составлен 2012 и должен [был] быть отослан завтра."
" нелватсос лыб увецьлисовоН тевтО ";"2102";"Ответ Новосильцеву был составлен";"2012";" ";"и должен [был] быть отослан завтра.";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Ответ Новосильцеву был составлен 2012 и должен [был] быть отослан завтра."
" 2102 нелватсос лыб увецьлисовоН тевтО ";"и";"Ответ Новосильцеву был составлен 2012";"и";" ";"должен [был] быть отослан завтра.";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Ответ Новосильцеву был составлен 2012 и должен [был] быть отослан завтра."
" и 2102 нелватсос лыб увецьлисовоН тевтО";"нежлод";"Ответ Новосильцеву был составлен 2012 и";"должен";" ";"[был] быть отослан завтра.";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Ответ Новосильцеву был составлен 2012 и должен [был] быть отослан завтра."
" нежлод и 2102 нелватсос лыб увецьлисовоН";"]лыб[";"Новосильцеву был составлен 2012 и должен";"[был]";" ";"быть отослан завтра.";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Ответ Новосильцеву был составлен 2012 и должен [был] быть отослан завтра."
" ]лыб[ нежлод и 2102 нелватсос лыб";"ьтыб";"был составлен 2012 и должен [был]";"быть";" ";"отослан завтра.";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Ответ Новосильцеву был составлен 2012 и должен [был] быть отослан завтра."
" ьтыб ]лыб[ нежлод и 2102 нелватсос";"налсото";"составлен 2012 и должен [был] быть";"отослан";" ";"завтра.";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Ответ Новосильцеву был составлен 2012 и должен [был] быть отослан завтра."
" налсото ьтыб ]лыб[ нежлод и 2102";"артваз";"2012 и должен [был] быть отослан";"завтра";". ";"";"Л. Н. Толстой. Война и мир [Добавления] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Добавления]";"1869";"";"";"";"";"";"";"омонимия не снята";"Ответ Новосильцеву был составлен 2012 и должен [был] быть отослан завтра."
" ";"анйоВ";"";"Война";" ";"и мир.";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"Война и мир."
" анйоВ ";"и";"Война";"и";" ";"мир.";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"Война и мир."
" и анйоВ ";"рим";"Война и";"мир";". ";"";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"Война и мир."
" ";"1";"";"1";" ";"Были два брата и две сестры";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"1 Были два брата и две сестры Мосальских."
" 1 ";"илыБ";"1";"Были";" ";"два брата и две сестры Мосальских.";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"1 Были два брата и две сестры Мосальских."
" илыБ 1 ";"авд";"1 Были";"два";" ";"брата и две сестры Мосальских.";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"1 Были два брата и две сестры Мосальских."
" авд илыБ 1 ";"атарб";"1 Были два";"брата";" ";"и две сестры Мосальских.";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"1 Были два брата и две сестры Мосальских."
" атарб авд илыБ 1 ";"и";"1 Были два брата";"и";" ";"две сестры Мосальских.";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"1 Были два брата и две сестры Мосальских."
" и атарб авд илыБ 1 ";"евд";"1 Были два брата и";"две";" ";"сестры Мосальских.";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"1 Были два брата и две сестры Мосальских."
" евд и атарб авд илыБ 1";"ыртсес";"1 Были два брата и две";"сестры";" ";"Мосальских.";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"1 Были два брата и две сестры Мосальских."
" ыртсес евд и атарб авд илыБ";"хиксьласоМ";"Были два брата и две сестры";"Мосальских";". ";"";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"1 Были два брата и две сестры Мосальских."
" ";"йишратС";"";"Старший";" ";"брат Аркадий умер, оставив вдову умную";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"Старший брат Аркадий умер, оставив вдову умную, чопорную и одного сына Бориса, чистого, глуповатого рыцаря, красавца."
" йишратС ";"тарб";"Старший";"брат";" ";"Аркадий умер, оставив вдову умную, чопорную";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"Старший брат Аркадий умер, оставив вдову умную, чопорную и одного сына Бориса, чистого, глуповатого рыцаря, красавца."
" тарб йишратС ";"йидакрА";"Старший брат";"Аркадий";" ";"умер, оставив вдову умную, чопорную и";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"Старший брат Аркадий умер, оставив вдову умную, чопорную и одного сына Бориса, чистого, глуповатого рыцаря, красавца."
" йидакрА тарб йишратС ";"рему";"Старший брат Аркадий";"умер";", ";"оставив вдову умную, чопорную и одного";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"Старший брат Аркадий умер, оставив вдову умную, чопорную и одного сына Бориса, чистого, глуповатого рыцаря, красавца."
" ,рему йидакрА тарб йишратС ";"виватсо";"Старший брат Аркадий умер,";"оставив";" ";"вдову умную, чопорную и одного сына";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"Старший брат Аркадий умер, оставив вдову умную, чопорную и одного сына Бориса, чистого, глуповатого рыцаря, красавца."
" виватсо ,рему йидакрА тарб йишратС ";"уводв";"Старший брат Аркадий умер, оставив";"вдову";" ";"умную, чопорную и одного сына Бориса";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"Старший брат Аркадий умер, оставив вдову умную, чопорную и одного сына Бориса, чистого, глуповатого рыцаря, красавца."
" уводв виватсо ,рему йидакрА тарб йишратС";"юунму";"Старший брат Аркадий умер, оставив вдову";"умную";", ";"чопорную и одного сына Бориса, чистого";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"Старший брат Аркадий умер, оставив вдову умную, чопорную и одного сына Бориса, чистого, глуповатого рыцаря, красавца."
" ,юунму уводв виватсо ,рему йидакрА тарб";"юунропоч";"брат Аркадий умер, оставив вдову умную,";"чопорную";" ";"и одного сына Бориса, чистого, глуповатого";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"Старший брат Аркадий умер, оставив вдову умную, чопорную и одного сына Бориса, чистого, глуповатого рыцаря, красавца."
" юунропоч ,юунму уводв виватсо ,рему йидакрА";"и";"Аркадий умер, оставив вдову умную, чопорную";"и";" ";"одного сына Бориса, чистого, глуповатого рыцаря";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"Старший брат Аркадий умер, оставив вдову умную, чопорную и одного сына Бориса, чистого, глуповатого рыцаря, красавца."
" и юунропоч ,юунму уводв виватсо ,рему";"огондо";"умер, оставив вдову умную, чопорную и";"одного";" ";"сына Бориса, чистого, глуповатого рыцаря, красавца.";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"Старший брат Аркадий умер, оставив вдову умную, чопорную и одного сына Бориса, чистого, глуповатого рыцаря, красавца."
" огондо и юунропоч ,юунму уводв виватсо";"аныс";"оставив вдову умную, чопорную и одного";"сына";" ";"Бориса, чистого, глуповатого рыцаря, красавца.";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"Старший брат Аркадий умер, оставив вдову умную, чопорную и одного сына Бориса, чистого, глуповатого рыцаря, красавца."
" аныс огондо и юунропоч ,юунму уводв";"асироБ";"вдову умную, чопорную и одного сына";"Бориса";", ";"чистого, глуповатого рыцаря, красавца.";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"Старший брат Аркадий умер, оставив вдову умную, чопорную и одного сына Бориса, чистого, глуповатого рыцаря, красавца."
" ,асироБ аныс огондо и юунропоч ,юунму";"оготсич";"умную, чопорную и одного сына Бориса,";"чистого";", ";"глуповатого рыцаря, красавца.";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"Старший брат Аркадий умер, оставив вдову умную, чопорную и одного сына Бориса, чистого, глуповатого рыцаря, красавца."
" ,оготсич ,асироБ аныс огондо и юунропоч";"оготавопулг";"чопорную и одного сына Бориса, чистого,";"глуповатого";" ";"рыцаря, красавца.";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"Старший брат Аркадий умер, оставив вдову умную, чопорную и одного сына Бориса, чистого, глуповатого рыцаря, красавца."
" оготавопулг ,оготсич ,асироБ аныс огондо и";"ярацыр";"и одного сына Бориса, чистого, глуповатого";"рыцаря";", ";"красавца.";"Л. Н. Толстой. Война и мир [Планы и заметки] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Планы и заметки]";"1869";"";"";"";"";"";"";"омонимия не снята";"Старший брат Аркадий умер, оставив вдову умную, чопорную и одного сына Бориса, чистого, глуповатого рыцаря, красавца."
